Ticker,phone,longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,navPrice,currency,category,ytdReturn,fundFamily,fundInceptionDate,legalType,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,companyOfficers,compensationAsOfEpochDate,marketCap,sharesOutstanding,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,trailingEps,lastSplitFactor,lastSplitDate,52WeekChange,SandP52WeekChange,currentPrice,recommendationKey,financialCurrency,fullTimeEmployees,exDividendDate,priceToSalesTrailing12Months,enterpriseValue,floatShares,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,shortRatio,shortPercentOfFloat,netIncomeToCommon,enterpriseToRevenue,lastDividendValue,lastDividendDate,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,revenueGrowth,operatingMargins,fax,profitMargins,enterpriseToEbitda,ebitda,returnOnAssets,returnOnEquity,freeCashflow,grossMargins,ebitdaMargins,beta,yield,beta3Year,threeYearAverageReturn,fiveYearAverageReturn,dividendRate,dividendYield,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,irWebsite,fiveYearAvgDividendYield,forwardPE,forwardEps,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,earningsQuarterlyGrowth,earningsGrowth
DNNGY,45 99 55 11 11,"Ørsted A/S, together with its subsidiaries, develops, constructs, owns, and operates offshore and onshore wind farms, solar farms, energy storage facilities, renewable hydrogen and green fuels facilities, and bioenergy plants. It operates through Offshore, Onshore, and Bioenergy & Other segments. The Offshore segment develops, constructs, owns, and operates offshore wind farms in the United Kingdom, Europe, the United States, and Taiwan, as well as develops renewable hydrogen and green fuels in Europe and on the United States gulf coast. The Onshore segment develops, constructs, owns, and operates onshore wind and solar farms in the United States and Europe, as well as integrated storage. The Bioenergy & Other segments engages in the generation of heat and power and delivery of ancillary services from CHP plants in Denmark; optimizes gas portfolio, and Danish and Swedish B2B markets. The company was formerly known as DONG Energy A/S and changed its name to Ørsted A/S in November 2017. Ørsted A/S was founded in 1972 and is headquartered in Fredericia, Denmark.",86400,2,12.5,13.08,12.98,13.86,12.5,13.08,12.98,13.86,24.963634,55805,55805,123981,171690,171690,13.4,13.74,40000,40000,,11.73,22.44,15.37638,18.67496,,USD,,,,,,PNK,EQUITY,DNNGY,DNNGY,Orsted A/S,Ørsted A/S,1508765400,America/New_York,EST,db7e135e-c4d6-3990-a20a-0b76aef4d667,finmb_6492833,-18000000,,Kraftvaerksvej 53,Skaerbaek,Fredericia,,7000,Denmark,https://www.orsted.com,Utilities - Renewable,utilities-renewable,Utilities - Renewable,Utilities,utilities,Utilities,"[{'maxAge': 1, 'name': 'Mr. Daniel  Lerup', 'age': 41, 'title': 'Member of Executive Board, Senior VP, Head of Commercial and EPC & Operation Finance', 'yearBorn': 1983, 'fiscalYear': 2023, 'totalPay': 886069, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Henriette Fenger Ellekrog', 'age': 58, 'title': 'Executive VP, Chief Human Resources Officer & Member of Executive Board', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 927725, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,17309411328,1260700032,0.00032,1317289984,156.97,0.08746894,1703980800,1735603200,1727654400,0.55,,,-0.31863284,0.2000997,13.73,strong_buy,DKK,8377,1678233600,0.2421337,72827166720,147415005,,,,,,,,,5052000256,1.019,0.656,1678233600,39395000320,93.713,1.02774E+11,0.973,1.341,71486996480,112.781,56.648296,36112998400,14220000256,-0.096,0.11563,45 99 55 00 11,0.07885,2.999,24287000576,0.03289,0.06863,-16695000064,0.50517,0.33973998,0.772,,,,,,,,,,http://www.dongenergy.com/en/investors,1.82,14.2025175,1.26,19.0875,19.0875,19.0875,19.0875,1,1,,,,,,,,
KDLY,385 388 8220,"Kindly MD, Inc., a healthcare and healthcare data company, provides direct health care services to patients integrating prescription medicine and behavioral health services. The company offers specialty outpatient clinical services based on a subscription and fee-for-service basis to augment traditional healthcare. It provides evaluation and management services, including chronic pain, functional medicine, cognitive behavioral therapy, trauma and addiction therapy, recovery support, overdose education, peer support, limited urgent care, preventative medicine, travel, and hormone therapy; and data collection and research, and online and email campaign marketing services, as well as engages in the retail sale of health care products through clinics and online. Kindly MD, Inc. was formerly known as Utah Therapeutic Health Center, LLC and changed its name to Kindly MD, Inc. in March 2022. The company was incorporated in 2019 and is based in Salt Lake City, Utah.",86400,4,1.21,1.22,1.2,1.26,1.21,1.22,1.2,1.26,,31612,31612,403316,49150,49150,1.36,1.4,100,100,,0.65,4.2,1.3257,1.6065148,,USD,,,,,,NCM,EQUITY,KDLY,KDLY,"Kindly MD, Inc.","Kindly MD, Inc.",1717162200,America/New_York,EST,d4bb4f39-5f50-3656-99aa-e3a2bfa30109,finmb_1800639554,-18000000,,5097 South 900 East,Suite 100,Salt Lake City,UT,84117,United States,https://kindlymd.com,Medical Care Facilities,medical-care-facilities,Medical Care Facilities,Healthcare,healthcare,Healthcare,"[{'maxAge': 1, 'name': 'Mr. Timothy  Pickett', 'age': 46, 'title': 'Founder, CEO & Chairman', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 288513, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jared E. Barrera M.B.A.', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1981, 'fiscalYear': 2023, 'totalPay': 119154, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam  Cox', 'age': 47, 'title': 'COO & Director', 'yearBorn': 1977, 'fiscalYear': 2023, 'totalPay': 119994, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,7232751,5977480,0.11958,5977480,0.583,2.0754716,1703980800,1735603200,1727654400,-0.49,,,-0.602649,0.2000997,1.21,none,USD,23,,2.5153894,3995643,1908787,80521,166006,1734048000,1736899200,0.0135,0.62182,0.82,0.0269,-2941054,1.39,,,3642944,0.609,405841,5.081,5.43,2875400,11.649,0.568,-936340,-2381920,-0.255,-1.6204201,,-1.02283,-1.579,-2530284,-0.63568,-1.7869501,-1373765,-0.32564,-0.87998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPEV,86 20 6680 6680,"XPeng Inc. designs, develops, manufactures, and markets smart electric vehicles (EVs) in the People's Republic of China. It offers SUVs under the G3, G3i, and G9 names; four-door sports sedans under the P7 and P7i names; and family sedans under the P5 name. The company also provides sales contracts, super charging, maintenance, technical support, auto financing, insurance, technology support, ride-hailing, automotive loan referral, and other services, as well as vehicle leasing and insurance agency services. In addition, it offers advanced driver-assistance system technology and in-car intelligent operating system; and vehicle systems comprising powertrains, and the electrical and electronic architecture. XPeng Inc. was founded in 2015 and is headquartered in Guangzhou, the People's Republic of China.",86400,2,16.99,16.63,16.3,16.75,16.99,16.63,16.3,16.75,,7595637,7595637,11592889,9400760,9400760,16.45,16.52,1800,1800,,6.551,16.75,13.0156,10.07845,,USD,,,,,,NYQ,EQUITY,XPEV,XPEV,XPeng Inc.,XPeng Inc.,1598535000,America/New_York,EST,11f7d431-5597-36ea-80ab-0ee338416416,finmb_682614209,-18000000,,No. 8 Songgang Road,Changxing Street Cencun Tianhe District,Guangzhou,,510640,China,https://www.xpeng.com,Auto Manufacturers,auto-manufacturers,Auto Manufacturers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"[{'maxAge': 1, 'name': 'Mr. Xiaopeng  He', 'age': 45, 'title': 'Co-Founder, Chairman & CEO', 'yearBorn': 1978, 'fiscalYear': 2023, 'totalPay': 223857, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Hongdi  Gu', 'age': 50, 'title': 'Honorary Vice Chairman of the Board & Co-President', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 1203773, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Fengying  Wang', 'age': 52, 'title': 'President', 'yearBorn': 1971, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jiaming  Wu', 'age': 39, 'title': 'Vice President of Finance & Accounting', 'yearBorn': 1984, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Alex  Xie', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yeqing  Zheng', 'title': 'Company Secretary', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yonghai  Chen', 'age': 42, 'title': 'Vice President of Product Planning', 'yearBorn': 1981, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,15571695616,773790016,0.117410004,885500992,38.565,0.4291456,1703980800,1735603200,1719705600,-1.22,,,0.86121,0.2000997,16.55,buy,CNY,13261,,0.42968902,10441307136,1213659801,35914356,38691299,1727654400,1730332800,0.0379,0.04322,2.14,0.0477,-7886735872,0.288,,,28138874880,14.904,14016603136,1.083,1.501,36239454208,41.219,39.76,2642871040,,0.602,-0.20041999,,-0.21763,-1.619,-6449540608,-0.07595,-0.23656,,0.07293,-0.17797,2.79,,,,,,,,,,,,-5.4026875,-0.45,19.159456,6.9688506,14.762252,15.1462555,1.78571,25,,,,,,,,
IHAK,1-800-474-2737,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is composed of developed and emerging market companies that are involved in cyber security and technology, including cyber security hardware, software, products, and services. It is non-diversified.",86400,2,51.16,51.16,50.915,51.73,51.16,51.16,50.915,51.73,32.43372,57663,57663,68772,76340,76340,50.56,64.3,1200,1200,920974720,42.45,52.15,50.02398,47.630676,50.48824,USD,Technology,0.034045897,iShares,1560211200,Exchange Traded Fund,PCX,ETF,IHAK,IHAK,iShares Cybersecurity and Tech ,iShares Cybersecurity and Tech ETF,1560519000,America/New_York,EST,48cbc7a7-0d3d-339e-bea0-9251d572eae0,finmb_611413461,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.76,0.080851495,0.1223359,,,,,,,,,,,,,,,,,,,,,,,
SASKF,236 521 0526,"Atha Energy Corp., a mineral company, engages in the acquisition, exploration, and development of uranium assets in Canadia. Its portfolio includes three 100%-owned post discovery uranium projects, including the Angilak Project located in Nunavut; CMB Discoveries in Labrador; and the newly discovered basement hosted GMZ uranium discovery located in the Athabasca Basin. The company also holds cumulative prospective exploration land package comprising 8.4 million acres in two of the prominent basins for uranium discoveries. In addition, it holds a 10% carried interest in key Athabasca Basin exploration projects operated by NexGen Energy Ltd. and IsoEnergy Ltd. The company has an option to acquire a 70% interest in the Spire and Horizon properties and a 60% interest in the Pasfield Lake property located within the Athabasca Basin, Saskatchewan. Atha Energy Corp. was formerly known as Inglenook Ventures Ltd. and changed its name to Atha Energy Corp. in May 2022. The company was incorporated in 2021 and is based in Vancouver, Canada.",86400,4,0.37,0.385,0.35,0.374,0.37,0.385,0.35,0.374,,20004,20004,79649,61121,61121,0.34,0.3549,381200,,,0.33385,1,0.4350166,0.47665954,,USD,,,,,,OQB,EQUITY,SASKF,SASKF,Atha Energy Corp.,Atha Energy Corp.,1689773400,America/New_York,EST,09626b6b-ef29-3969-97fa-0e7b769c2e8b,finmb_709008028,-18000000,,1240 -1066 Hastings St W,,Vancouver,BC,,Canada,https://www.athaenergy.com,Uranium,uranium,Uranium,Energy,energy,Energy,"[{'maxAge': 1, 'name': 'Mr. Troy D. Boisjoli B.Sc.', 'title': 'CEO & Director', 'fiscalYear': 2023, 'totalPay': 173599, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rhéal J. Assié', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Cliff  Revering P.Eng.', 'title': 'Vice President of Exploration', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ryan  Gaffney', 'title': 'Senior VP of Business Development', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1703980800,98319256,277895008,0.12303001,280092000,0.633,0.55892575,1703980800,1735603200,1727654400,-0.06,,,-0.55620193,0.2000997,0.3538,none,CAD,,,,,,,,,,,0.16476999,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWEB,,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its net assets plus borrowings in the securities comprising the index. The index provides focused exposure to the equity securities of companies that are well-positioned to benefit from the emergence of Web3 and Web3 technologies. The fund is non-diversified.",86400,2,60.1673,60.59,61.2206,61.2206,60.1673,60.59,61.2206,61.2206,31.180517,353,353,1261,700,700,61.05,62.02,1000,1000,3533406,32.43,65.15,59.04868,48.684135,60.659,USD,Technology,0.0668018,Bitwise Investments,1664841600,Exchange Traded Fund,PCX,ETF,BWEB,BWEB,Bitwise Funds Trust Bitwise Web,Bitwise Web3 ETF,1664890200,America/New_York,EST,8053a573-2b84-35fa-8bd3-dc5619d39218,finmb_1796957650,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SID,55 11 3049 7100,"Companhia Siderúrgica Nacional operates as an integrated steel producer in Brazil and Latin America. It operates through five segments: Steel Industry, Mining, Logistics, Energy, and Cement. The company offers flat steel products, such as hot and cold rolled, galvanized, galvalume, pre-painted, and metal sheets products; coil, sheets, and derivatives; tiles and derivatives, pipes, and profiles; long steel products; steel packaging solutions for the food industry; chemical packaging solution; and carbochemical products. It also provides steel cutting services; produces and sells cement; operates railway and port facilities; and generates electric power from its thermoelectric co-generation and hydroelectric power plants. In addition, the company explores for iron ore reserves at Casa de Pedra and Engenho mines located in the city of Congonhas; and limestone and dolomite at the Bocaina mine located in the city of Arcos in the state of Minas Gerais, Brazil, as well as produces tin. Companhia Siderúrgica Nacional was founded in 1941 and is headquartered in São Paulo, Brazil.",86400,4,1.6,1.57,1.555,1.59,1.6,1.57,1.555,1.59,,1648239,1648239,2610247,2612880,2612880,1.56,1.58,21500,36100,,1.27,3.84,1.631,2.13565,,USD,,,,,,NYQ,EQUITY,SID,SID,Companhia Siderurgica Nacional ,Companhia Siderúrgica Nacional,848327400,America/New_York,EST,1c268456-6717-378c-9972-48bd9b26c55b,finmb_393311,-18000000,,"Av. Brigadeiro Faria Lima, 3400",19th and 20th Floors Itaim Bibi,São Paulo,SP,,Brazil,https://www.csn.com.br,Steel,steel,Steel,Basic Materials,basic-materials,Basic Materials,"[{'maxAge': 1, 'name': 'Mr. Benjamin  Steinbruch', 'age': 71, 'title': 'President of Executive Board, Chairman & CEO', 'yearBorn': 1953, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Antonio Marco Campos Rabello', 'age': 51, 'title': 'CFO, Executive Director of Finance & Investor Relations and Member of Executive Board', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Eneas Garcia Diniz', 'age': 64, 'title': 'Member of Executive Board', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David Moise Salama', 'age': 58, 'title': 'Executive Director of Insurance, Credit and Property & Member of Executive Board', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Luis Fernando Barbosa Martinez', 'age': 61, 'title': 'Executive Director of Commercial, Logistics, Steel, Cement & Spl Sales and Member of Exe. Board', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephan Heinz Josef Victor Weber', 'age': 63, 'title': 'Executive Director of Investments & Member of Executive Board', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexandre  de Campos Lyra', 'age': 62, 'title': 'Executive Director of Production Area of the Steel Segment & Member of the Executive Board', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rogério Bautista da Nova Moreira', 'age': 47, 'title': 'Chief Legal Officer & Member of Executive Board', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marcelo Cunha Cunha Ribeiro', 'age': 47, 'title': 'Executive Director & Member of Executive Board', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Igor Estrada Gouvea', 'title': 'Director of Audit, Risks & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}]",,2068700288,1326089984,0.02684,1362339968,10.108,0.1543332,1703980800,1735603200,1727654400,-0.18,2:01,1270598400,-0.56793475,0.2000997,1.56,hold,BRL,,1732838400,0.04737506,36950638592,604909885,12742913,7586323,1734048000,1736899200,0.0096,,4.43,0.0197,-1379750016,0.846,0.14,1716336000,19480797184,14.674,52490682368,0.918,1.337,43666440192,344.54,32.926,10920403968,6756611072,-0.005,0.05953,,-0.031600002,4.627,7986677760,0.030150002,-0.03408,-158502496,0.25009,0.18290001,,,,,,0.23,0.1434,96.1784,0.716,0.44750002,http://www.csn.com.br/english/index.htm,7.25,3.4743874,0.2,2.9,1.3,2.1,2.1,3.25,3,,,,,,,,
MSGS,(212) 465-4111,"Madison Square Garden Sports Corp. operates as a professional sports company in the United States. The company owns and operates a portfolio of assets that consists of the New York Knickerbockers of the National Basketball Association (NBA) and the New York Rangers of the National Hockey League. Its other professional franchises include development league teams, the Hartford Wolf Pack of the American Hockey League and the Westchester Knicks of the NBA G League. The company also owns Knicks Gaming, an esports franchise that competes in the NBA 2K League. In addition, it operates professional sports team performance centers, the Madison Square Garden Training Center in Greenburgh. The company was formerly known as The Madison Square Garden Company. Madison Square Garden Sports Corp. was incorporated in 2015 and is based in New York, New York.",86400,2,210.4,210.99,208.53,211.4,210.4,210.99,208.53,211.4,88.483055,101416,101416,86983,84560,84560,209.01,217.08,800,800,,178.35,237.992,223.8832,206.07275,,USD,,,,,,NYQ,EQUITY,MSGS,MSGS,Madison Square Garden Sports Co,Madison Square Garden Sports Corp.,1442496600,America/New_York,EST,c77c9467-d779-35b3-b9d6-eb9330b355cc,finmb_289813109,-18000000,,Two Pennsylvania Plaza,,New York,NY,10121,United States,https://www.msgsports.com,Entertainment,entertainment,Entertainment,Communication Services,communication-services,Communication Services,"[{'maxAge': 1, 'name': 'Mr. James Lawrence Dolan', 'age': 69, 'title': 'Executive Chairman & CEO', 'yearBorn': 1955, 'fiscalYear': 2024, 'totalPay': 4578140, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Victoria M. Mink', 'age': 55, 'title': 'Executive VP, CFO & Treasurer', 'yearBorn': 1969, 'fiscalYear': 2024, 'totalPay': 2016281, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jamaal T. Lesane', 'age': 48, 'title': 'Chief Operating Officer', 'yearBorn': 1976, 'fiscalYear': 2024, 'totalPay': 1674515, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alexander  Shvartsman', 'age': 51, 'title': 'Senior VP, Controller & Principal Accounting Officer', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 665481, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Granville-Smith', 'age': 57, 'title': 'Executive Vice President', 'yearBorn': 1967, 'fiscalYear': 2024, 'totalPay': 1783479, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ari  Danes C.F.A.', 'title': 'Senior Vice President of Investor Relations & Treasury', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bryan  Warner', 'age': 39, 'title': 'Senior VP & Head of Legal', 'yearBorn': 1985, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard  Constable', 'title': 'Chief Strategist, EVP and Global Head of Government Relations & Public Affairs', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Gregg G. Seibert', 'age': 68, 'title': 'Vice Chairman', 'yearBorn': 1956, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Joel  Fisher', 'title': 'Executive Vice President of Marquee Events & Operations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]",1735603200,5012828672,19476000,0.86478996,24005500,-11.118,,1719705600,1751241600,1727654400,2.36,1402:1000,1587340800,0.120679975,0.2000997,208.82,buy,USD,533,1665705600,4.8320613,6277319168,17028563,358425,409354,1734048000,1736899200,0.0149,0.03745,3.99,0.024300002,70048000,6.051,7,1665705600,52252000,2.178,1093353984,0.231,0.41,1037409984,,43.171,483824000,120114000,0.238,-0.15675001,,0.06752,40.396,155396000,0.06947,,89337624,0.46638,0.14979,0.672,,,,,,,,,,,,113.90202,1.6,314,235,259.8,240,1.83333,5,3,10,6,10,10,1738368000,,
USDC,972-680-9700,"USDATA Corp. operates as an independent, global supplier of industrial automation software tools, applications, and consulting services designed to provide businesses with the knowledge and control needed to perfect the products they produce and the processes they manage. USDATA Corp. develops, markets, and supports component-based software products for customers requiring enterprise-wide, open solutions for the industrial automation markets. These software products provide customers real-time computer applications that enable interactive, dynamic, and graphical interfaces to industrial operations. These applications collect, consolidate, and communicate information about an automated process, typically drawn from complex operating sources or from multiple sites throughout an enterprise; and enable the user to interact with and control critical processes. The real-time information provided by its products is intended to enable customers to reduce operating costs, improve product quality, and increase overall throughput and productivity. USDATA's FactoryLink is a process knowledge and control solution where as its Xfactory is a product knowledge and control software product. It serves customers in a variety of industries, including chemical, oil and gas, food, beverage, automotive, aerospace, telecommunications, electronics, transportation, and other industries. These customers are located in the United States, Europe, Canada, Latin America, and Asia Pacific. The company sells its products and services to end customers and systems integrators through distributors, original equipment manufacturer relationships, and direct sales. USDATA Corp. was founded in 1974 and is based in Richardson, Texas.",86400,4,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,,10200,10200,,,,,,,,,1.00E-06,0.0001,0.0001,0.0001,,USD,,,,,,OEM,EQUITY,USDC,USDC,USDATA CORP,USDATA Corp.,803568600,America/New_York,EST,e874c10f-b3df-35c8-b11b-57765b6802d8,finmb_36095,-18000000,,2435 North Central Expressway,,Richardson,TX,75080,United States,,Advertising Agencies,advertising-agencies,Advertising Agencies,Communication Services,communication-services,Communication Services,"[{'maxAge': 1, 'name': 'Mr. James E. Fleet', 'age': 62, 'title': 'Interim President, CEO & Director', 'yearBorn': 1962, 'fiscalYear': 2002, 'exercisedValue': 0, 'unexercisedValue': 0}]",1041292800,259596,,0.02175,2595960064,-15.425,,1041292800,1072828800,1049068800,-0.01,1:05,998352000,,0.2000997,0.0001,none,USD,66,,0.02380741,57534004,,,,,,,,,,-14828000,5.276,,,1639000,0.442,892000,0.728,0.871,10904000,82.823,3.515,10904000,-334000,0.215,-0.1907,972-669-9557,-0.62674,59.252,971000,-0.18974,-2.17304,1242750,1,0.089049995,-10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNDA,212 883 4330,"Concord Acquisition Corp II does not have significant operations. It focuses on effecting a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in New York, New York.",86400,2,10.8,10.8,10.61,10.85,10.8,10.8,10.61,10.85,,9900,9900,2752,1730,1730,10.7,10.75,800,900,,10.07,10.85,10.49136,10.50071,,USD,,,,,,OQX,EQUITY,CNDA,CNDA,Concord Acquisition Corp II,Concord Acquisition Corp II,1634909400,America/New_York,EST,ef973f19-766e-3d78-9ea6-17b997786381,finmb_709461161,-18000000,,477 Madison Avenue,,New York,NY,10022,United States,https://concordacquisitioncorp.com,Shell Companies,shell-companies,Shell Companies,Financial Services,financial-services,Financial Services,"[{'maxAge': 1, 'name': 'Mr. Jeffrey M. Tuder', 'age': 51, 'title': 'Chief Executive Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Michele Jean Cito CPA, CPA', 'age': 34, 'title': 'Chief Financial Officer', 'yearBorn': 1990, 'exercisedValue': 0, 'unexercisedValue': 0}]",,97641072,2200300,1.05304,9202740,-1.221,,1703980800,1735603200,1727654400,-0.11,,,0.017257929,0.2000997,10.61,none,USD,,,,96901936,2200283,5180,5392,1721001600,1723680000,0.0006,,0.49,0.0024,-1430991,,,,739144,0.08,,0.139,0.169,,,,,-1613530,,,,,,,-0.01441,,1467633,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTEC,,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Information Technology 25/50 Index, which represents the performance of the information technology sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Information Technology 25/50 Index. The fund is non-diversified.",86400,2,183.22,183.54,183.1013,185.87,183.22,183.54,183.1013,185.87,38.27023,215180,215180,294457,419670,419670,185,187.39,900,900,13294450688,142.12,193.06,186.9454,172.76985,190.37447,USD,Technology,0.030127699,Fidelity Investments,1382313600,Exchange Traded Fund,PCX,ETF,FTEC,FTEC,Fidelity MSCI Information Techn,Fidelity MSCI Information Technology Index ETF,1382621400,America/New_York,EST,dbd99451-14ba-3f5d-a686-f7eb8acea7b8,finmb_243638575,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0049,1.27,0.1762286,0.20838961,,,,,,,,,,,,,,,,,,,,,,,
